build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
1900,3.0,1,138,Perwez,3,1360.0,325000.0,vbd33080,Residence,https://immovlan.be/en/detail/residence/for-sale/1360/perwez/vbd33080,Excellent,0,1,Walloon Brabant,house,ready_to_move_in
,3.0,1,174.0,Heusden-Zolder,3,3550.0,352000.0,RBU38638,Residence,https://immovlan.be/en/detail/residence/for-sale/3550/heusden-zolder/rbu38638,New,0,1,Limburg,house,ready_to_move_in
,2.0,0,60.0,Ieper,1,8900.0,212750.0,RBT86447,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8900/ieper/rbt86447,New,0,1,West Flanders,apartment,ready_to_move_in
,2.0,0,149,Ledeberg,4,9050.0,449000.0,rbu56967,Residence,https://immovlan.be/en/detail/residence/for-sale/9050/ledeberg/rbu56967,Excellent,0,1,East Flanders,house,ready_to_move_in
1967,2.0,0,42,Brussels,0,1000.0,79000.0,vbd48521,Studio,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd48521,To be renovated,0,0,Brussels Capital Region,apartment,to_renovate
,,0,,,,,,rbu64395,,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbu64395,,0,,,,
,,0,83.0,Liege,2,4000.0,270700.0,VAY67575,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vay67575,New,0,1,Liège,apartment,ready_to_move_in
1979,4.0,1,253,Genk,4,3600.0,449000.0,rbu33306,Residence,https://immovlan.be/en/detail/residence/for-sale/3600/genk/rbu33306,,0,1,Limburg,house,
1646,4.0,1,,Rendeux,17,6987.0,2500000.0,vbb48633,Mansion,https://immovlan.be/en/detail/mansion/for-sale/6987/rendeux/vbb48633,Normal,0,1,Luxembourg,exceptional,ready_to_move_in
,,0,89.0,Deinze,1,9800.0,301200.0,RBU42293,Apartment,https://immovlan.be/en/detail/apartment/for-sale/9800/deinze/rbu42293,,0,1,East Flanders,apartment,
,2.0,1,161,Theux,3,4910.0,275000.0,vbd45209,Residence,https://immovlan.be/en/detail/residence/for-sale/4910/theux/vbd45209,Normal,0,1,Liège,house,ready_to_move_in
